CODIGO_DA_IES,NOME_DA_IES,SIGLA,CATEGORIA_DA_IES,COMUNITARIA,CONFESSIONAL,FILANTROPICA,ORGANIZACAO_ACADEMICA,CODIGO_MUNICIPIO_IBGE,MUNICIPIO,UF,SITUACAO_IES
15611,Faculdade Tecnológica Latino Americana,FATLA,Privada,Não,Não,Não,Faculdade,4314902.0,Porto Alegre,RS,Em Atividade
568,Universidade Estadual Do Maranhão,UEMA,Pública,Não,Não,Não,Universidade,2111300.0,São Luís,MA,Em Atividade
3966,Centro Universitário De Caratinga,UNEC,Privada,Não,Não,Não,Centro Universitário,3113404.0,Caratinga,MG,Em Atividade
3312,Centro Federal De Educação Tecnológica De Rio Verde,CEFET-RIO VERDE,Pública,Não,Não,Não,Centro Federal de Educação Tecnológica,5218805.0,Rio Verde,GO,Extinta
3786,Faculdade De Ensino De Minas Gerais,FACEMG,Privada,Não,Não,Não,Faculdade,3106200.0,Belo Horizonte,MG,Em Atividade
27024,Faculdade Soberana De Sete Lagoas,Soberana,Privada,Não,Não,Não,Faculdade,3167202.0,Sete Lagoas,MG,Em Atividade
1900,"Centro Universitário De Ensino, Ciência E Tecnologia Do Paraná",UniEnsino,Privada,Não,Não,Não,Centro Universitário,4106902.0,Curitiba,PR,Em Atividade
21201,Ftrb - Faculdade Teológica Reformada De Brasília,Não informado,Privada,Não,Não,Não,Faculdade,5300108.0,Brasília,DF,Em Atividade
20615,Faculdade Do Sertão Central,FASEC,Privada,Não,Não,Não,Faculdade,2308351.0,Milhã,CE,Em Atividade
3165,"Instituto Federal De Educação, Ciência E Tecnologia  Do Triângulo Mineiro",IFTM,Pública,Não,Não,Não,"Instituto Federal de Educação, Ciência e Tecnologia",3170107.0,Uberaba,MG,Em Atividade
5664,Faculdade De Ciências Humanas E Sociais De Araripina - Facisa,FACISA,Pública,Não,Não,Não,Faculdade,2601102.0,Araripina,PE,Em Atividade
3319,Instituto Universitário Una De Catalão,Catalana,Privada,Não,Não,Não,Faculdade,5205109.0,Catalão,GO,Em Atividade
22862,Franklincovey Business School,FCBS,Privada,Não,Não,Não,Faculdade,3550308.0,São Paulo,SP,Em Atividade
1435,Faculdade De Vila Velha,Não informado,Privada,Não,Não,Não,Faculdade,3205200.0,Vila Velha,ES,Extinta
1532,Faculdade De Sertãozinho,Não informado,Privada,Não,Não,Não,Faculdade,3551702.0,Sertãozinho,SP,Extinta
1526,Centro Universitário Senai São Paulo,Não informado,Privada,Não,Não,Não,Centro Universitário,3550308.0,São Paulo,SP,Em Atividade
2450,Faculdade Promove De Belo Horizonte,PROMOVE,Privada,Não,Não,Não,Faculdade,3106200.0,Belo Horizonte,MG,Em Atividade
316,Universidade Nove De Julho,UNINOVE,Privada,Não,Não,Não,Universidade,3550308.0,São Paulo,SP,Em Atividade
19578,Faculdade De Tecnologia De Cotia,FATEC COTIA,Pública,Não,Não,Não,Faculdade,3513009.0,Cotia,SP,Em Atividade
19281,Faculdade Atame,ATAME,Privada,Não,Não,Não,Faculdade,5300108.0,Brasília,DF,Em Atividade
22872,Faculdade Uniaba,FAC UNIABA,Privada,Não,Não,Não,Faculdade,5300108.0,Brasília,DF,Em Atividade
2467,Faculdade Nacional Do Norte Do Paraná,FANNORTE,Privada,Não,Não,Não,Faculdade,4114807.0,Marialva,PR,Extinta
14131,Falculdade Presidente Antônio Carlos De Divisa Alegre,FUNEES Divisa Alegre,Privada,Não,Não,Não,Faculdade,3122355.0,Divisa Alegre,MG,Extinta
2795,Faculdade São Francisco De Assis,FASFA,Privada,Não,Não,Não,Faculdade,5106257.0,Nova Xavantina,MT,Extinta
25974,Faculdade Salém,FACSALEM,Privada,Não,Não,Não,Faculdade,4127106.0,Telêmaco Borba,PR,Em Atividade
1625,Faculdade Reunida,FAR,Privada,Não,Não,Não,Faculdade,3520442.0,Ilha Solteira,SP,Extinta
4863,Faculdade Anhanguera De Poços De Caldas,Não informado,Privada,Não,Não,Não,Faculdade,3151800.0,Poços De Caldas,MG,Em Atividade
2964,Faculdade Projeção Do Guará,Não informado,Privada,Não,Não,Não,Faculdade,5300108.0,Brasília,DF,Em Atividade
408,Escola Superior De Relações Públicas,ESURP,Privada,Não,Não,Não,Faculdade,2611606.0,Recife,PE,Extinta
21399,Faculdade Uninassau Patos,NASSAU PATOS,Privada,Não,Não,Não,Faculdade,2510808.0,Patos,PB,Extinta
14204,Faculdade Presidente Antônio Carlos De Arcos,FUNEES Arcos,Privada,Não,Não,Não,Faculdade,3104205.0,Arcos,MG,Extinta
496,Universidade De Franca,UNIFRAN,Privada,Não,Não,Não,Universidade,3516200.0,Franca,SP,Em Atividade
13832,Faculdade Sagrada Família,FASF,Privada,Não,Sim,Não,Faculdade,4119905.0,Ponta Grossa,PR,Em Atividade
3396,Centro Universitário Ls,UNILS,Privada,Não,Não,Não,Centro Universitário,5300108.0,Brasília,DF,Em Atividade
22742,Faculdade Master Do Pará - Famap Tucumã,FAMAP,Privada,Não,Não,Não,Faculdade,1508084.0,Tucumã,PA,Em Atividade
2365,Centro Universitário Católica Do Tocantins,UNICATÓLICA,Privada,Não,Sim,Não,Centro Universitário,1721000.0,Palmas,TO,Em Atividade
